site,occ,cq,copy_no,size,water_temp,air_temp,pH,salinity,do,turbidity,cond,canopy_pct,tds,day
68,0,0,0,1.118550345,20,21,6.09656438,0.158965664,7.635163555,11.08884109,166.3393275,58,0.39699497,193
69,0,0,0,0.36343094,15,16,7.378388154,0.349619257,10.450406,16.46924148,240.2956763,67,0.391537282,167
70,1,30,3.99945E-05,0.950388392,16,18,8.543363054,0.204021054,7.256630689,16.8018333,192.5794678,49,0.200309781,159
71,0,0,0,0.043282795,21,26,8.36875267,0.34173641,5.312525101,8.259957365,493.6007942,42,0.259248562,190
72,0,0,0,1.123309808,23,28,6.433251287,0.13412835,1.360368344,1.085817984,350.0875917,62,0.099909885,138
73,1,29,6.82339E-05,1.405956947,15,17,9.487678379,0.160379617,11.03267542,16.61175207,224.1292375,35,0.119051581,192
74,1,25,0.000578096,0.08026066,21,24,8.364252801,0.250553543,11.4911671,3.222081359,423.6001364,11,0.051185152,191
75,1,37,9.50605E-07,1.501222187,9,13,8.829759594,0.142446733,4.661124228,14.93515598,497.7471514,40,0.183373643,187
76,1,40,1.91426E-07,1.544238505,12,15,5.688047696,0.064060105,8.888771709,0.138996679,85.66882797,33,0.053445553,145
77,0,0,0,0.635438827,11,14,6.249496428,0.39760697,11.01970386,9.684912976,74.55149304,50,0.079020372,146
78,0,0,0,0.569628228,22,27,6.458190561,0.256228336,9.426591599,5.576563639,291.0660739,60,0.349176732,123
79,1,30,3.99945E-05,0.499480946,20,24,7.931279463,0.157153015,8.728619322,5.074986562,187.7052923,41,0.335264047,186
80,0,0,0,0.396891206,16,18,8.134538438,0.062467829,5.693167311,15.39230919,292.3893077,16,0.057274533,183
81,0,0,0,1.522279159,15,18,7.679366047,0.210852604,8.314251609,1.520146561,458.35226,24,0.157840348,201
82,0,0,0,0.855555373,28,31,5.942030565,0.386956335,1.11220349,4.03167459,130.9464232,2,0.273067846,159
83,0,0,0,0.706426218,21,22,6.216370428,0.057767633,10.59952484,16.22445973,249.0363626,61,0.215397399,166
84,0,0,0,0.430641434,25,26,8.387352132,0.07469423,3.682076664,8.088694284,86.61199837,55,0.160565525,192
85,1,31,2.34423E-05,0.591836629,25,30,7.600393996,0.116140638,5.044437926,11.87072518,400.7678014,65,0.199001822,191
86,0,0,0,1.900489183,17,19,6.362588787,0.058322135,0.498487485,7.898530417,168.7893272,23,0.184243299,165
87,1,37,9.50605E-07,0.793192677,21,22,6.413787825,0.31326774,6.056896145,19.12736541,165.4745915,60,0.381930427,146
88,1,33,8.05378E-06,1.14635179,16,18,8.843109022,0.212302054,11.40888569,14.43551977,383.5154355,11,0.351138603,168
89,1,35,2.76694E-06,0.186802228,7,12,6.660492602,0.111014583,6.071130767,14.10213742,363.0046824,43,0.159052375,159
90,0,0,0,0.125032955,12,17,6.137001295,0.321890932,0.422876798,0.606892427,397.7544544,27,0.290794369,149
91,1,25,0.000578096,1.214712533,15,20,9.477742088,0.323701132,0.971028352,10.78974012,118.4546446,63,0.339992062,131
92,0,0,0,0.193090329,12,13,7.230071991,0.337729052,7.260343146,12.26243454,65.54553948,52,0.058029243,168
93,1,38,5.57186E-07,1.721234133,25,30,5.566771021,0.17975117,5.168319698,12.52804694,458.1794592,25,0.204687033,154
94,0,0,0,1.592584035,17,21,8.181735217,0.39090047,2.981061242,15.10512974,327.0588654,12,0.357394049,122
95,1,25,0.000578096,1.045613369,21,22,6.025287104,0.396764223,5.074236081,2.685773123,84.91146805,56,0.257753349,156
96,0,0,0,1.625689385,16,17,5.58019645,0.05160651,5.272636019,6.420968497,415.3323449,53,0.084619129,137
97,1,33,8.05378E-06,0.326256664,19,24,7.215335906,0.200823668,1.081778653,1.125584632,316.0153149,64,0.336752228,199
98,0,0,0,0.975991337,22,24,6.98049749,0.393651194,9.37267936,10.05102567,254.1230364,36,0.252784614,191
99,1,28,0.000116413,0.406197435,9,14,6.162386255,0.342573924,7.03600199,4.266654936,113.8136905,52,0.277998647,127
