site,occ,cq,copy_no,size,water_temp,air_temp,pH,salinity,do,turbidity,cond,canopy_pct,tds,day
18,1,35,2.76694E-06,1.204151462,17,19,9.28062327,0.376664885,9.268263745,12.00500163,212.3563389,11,0.123236642,190
19,0,0,0,1.672522568,26,29,8.910856485,0.102369793,4.748240499,8.43551715,445.126976,10,0.212504673,125
20,0,0,0,1.349958557,20,21,8.762251526,0.390774901,3.967410897,12.83258669,410.3717659,19,0.288127171,161
21,0,0,0,1.734103664,21,22,7.092028803,0.336817096,7.197282728,8.19881642,197.2833619,35,0.221201877,122
22,1,30,3.99945E-05,0.914984857,22,27,9.471675753,0.093821946,10.98811436,8.568687658,453.1340776,29,0.395190982,148
23,0,0,0,0.562353384,16,19,8.977697067,0.106098209,6.04553055,17.47145894,423.5306013,55,0.322020154,198
24,1,38,5.57186E-07,0.445633492,12,15,9.387371117,0.076040215,3.468265068,10.49507909,490.0139157,7,0.290332187,190
25,1,33,8.05378E-06,1.322784446,22,26,9.257408354,0.382925245,3.532627963,5.10850478,463.3870173,27,0.372676091,152
26,0,0,0,1.705448127,26,27,7.575321246,0.161922373,0.860424618,11.21890028,245.9407972,24,0.061040613,141
27,1,30,3.99945E-05,0.847072981,18,23,5.619878804,0.191030925,5.436274987,13.44372171,374.9904791,39,0.373132054,169
28,0,0,0,1.448054267,17,18,9.213298368,0.188197914,7.125372033,16.88640394,349.3993723,9,0.139919133,178
29,1,36,1.62181E-06,1.936921685,12,14,5.745541103,0.311308037,7.091252732,19.51048461,482.2266541,4,0.344477195,148
30,0,0,0,0.955406679,16,20,5.54698684,0.067003734,2.277378337,14.62954589,287.9214927,31,0.317914839,129
31,1,34,4.72063E-06,1.954491588,10,12,6.941131674,0.258482108,7.892252806,15.79518785,92.87171517,34,0.313776972,172
32,1,40,1.91426E-07,0.578660119,27,28,6.936691299,0.382049142,2.657550754,2.706717785,201.7756516,43,0.332549012,124
33,0,0,0,0.4813635,22,26,6.783546145,0.1857907,10.411768,18.67594082,69.61399932,18,0.380727531,192
34,0,0,0,0.406794776,12,13,7.737833232,0.155169076,10.52599214,9.313148663,396.1036548,56,0.216104784,199
35,0,0,0,0.518489911,23,26,8.797298063,0.104965577,5.994534691,18.7626391,180.6481557,17,0.392952651,124
36,1,33,8.05378E-06,1.900895592,22,23,8.094994786,0.274018696,11.58527339,15.40376135,289.9165471,18,0.203934631,174
37,0,0,0,0.431554124,16,20,6.655179362,0.151163115,10.89616759,13.00805281,270.454399,3,0.074368361,123
38,0,0,0,1.479147859,18,19,9.175324678,0.334724911,10.04069796,7.432798016,246.7386752,59,0.244337634,193
39,0,0,0,0.91713703,15,17,6.226530528,0.323529819,0.580230456,0.786511833,284.8974921,32,0.321601873,159
40,1,36,1.62181E-06,1.223098794,10,13,7.338895401,0.306261311,9.187672457,13.74094645,355.5155169,37,0.111635441,188
41,1,38,5.57186E-07,0.081169722,12,14,6.630791835,0.15398002,6.351639839,1.308934118,280.9560476,40,0.107577327,181
42,1,30,3.99945E-05,0.748706933,21,23,8.666255527,0.050951704,6.207112995,2.48591567,199.071678,38,0.233970833,180
43,0,0,0,0.143044655,11,16,9.241544747,0.344181072,11.46265588,12.42277105,96.26452173,2,0.164522202,131
44,1,37,9.50605E-07,1.576736423,21,25,8.882901248,0.385487224,10.55245033,17.74804791,325.5473267,10,0.358229662,196
45,0,0,0,1.95130335,14,18,6.021981984,0.067203991,7.252988743,4.868188195,434.3227577,3,0.310062681,155
46,0,0,0,1.307583574,8,13,7.682385206,0.251450177,9.875749758,9.136299384,279.7451193,2,0.21201318,192
47,1,38,5.57186E-07,0.021898202,19,22,6.737981809,0.157650582,0.095053357,19.22204434,182.8294533,14,0.378961195,198
48,0,0,0,1.424390437,19,23,8.279835981,0.343922503,0.417159826,0.886002414,265.4153603,7,0.061979184,140
49,0,0,0,1.80634709,30,31,6.067727461,0.271846234,2.722988569,13.95029813,62.74491535,26,0.295920801,179
50,0,0,0,0.165647093,18,21,8.929439042,0.074728525,3.905455727,15.97526307,305.6937169,45,0.305359156,134
51,1,34,4.72063E-06,1.557249739,19,21,7.458992555,0.117524176,4.094770153,14.94354458,260.2184403,29,0.106776837,144
52,1,38,5.57186E-07,1.04591589,21,22,9.016607413,0.376864903,5.475154419,12.37005351,320.0231372,17,0.076900115,199
53,0,0,0,0.99579386,8,12,5.893311328,0.216339151,0.592265316,10.29888479,226.1924382,34,0.189022907,201
54,1,33,8.05378E-06,0.853815965,19,20,7.628291828,0.122460959,9.702870289,16.23345673,406.7401063,49,0.206223561,191
55,0,0,0,0.216274937,9,14,6.588036782,0.28284055,1.999498572,10.70037305,265.3062382,43,0.344991961,149
56,1,32,1.37404E-05,0.676806503,23,25,7.18840384,0.379856843,4.660384967,10.34606303,300.7322279,67,0.359680559,123
57,0,0,0,1.53236411,10,13,8.239149728,0.100157113,8.495467086,17.82552046,122.1836201,65,0.072263347,169
58,0,0,0,0.397710572,19,23,6.785773855,0.174762599,9.126675381,3.636445998,397.7795898,62,0.300996057,141
59,1,33,8.05378E-06,1.946713182,16,19,5.539151198,0.195263175,3.300890229,18.46342856,220.5089134,59,0.051284757,173
60,0,0,0,1.38399786,19,22,8.226249406,0.079529739,10.31325663,5.12943454,383.0079681,48,0.068434833,125
61,0,0,0,0.949734592,10,14,9.06122072,0.230203341,0.382042381,9.551018993,386.6270057,42,0.272412924,175
62,0,0,0,1.541257695,23,24,5.583844383,0.095237477,11.340368,17.4477971,251.34478,19,0.159238204,124
63,1,31,2.34423E-05,0.927977028,20,22,6.553457271,0.096702272,11.56017331,9.199993463,264.0303136,40,0.079711256,132
64,1,31,2.34423E-05,1.988283786,26,27,8.848531901,0.180963237,5.900493022,12.62242918,129.296426,24,0.376897324,136
65,0,0,0,0.116010962,16,21,8.428261635,0.315968715,11.73642496,4.230829896,370.1538331,1,0.268840175,189
66,0,0,0,0.035676937,22,27,6.28754054,0.075856543,0.218965097,3.841769777,433.9542111,2,0.315660203,140
67,1,30,3.99945E-05,1.952115007,14,19,8.272472361,0.285688679,11.80423097,2.283836886,418.5566293,56,0.285082602,199
68,0,0,0,0.13735521,13,16,6.558033099,0.291229065,8.175927023,14.51148452,135.9570307,55,0.32784741,130
69,1,36,1.62181E-06,1.884490666,14,19,5.651179412,0.124118024,2.036498508,6.631072733,472.0612712,55,0.191438927,184
70,1,38,5.57186E-07,1.078845616,16,19,9.293527032,0.079556936,8.671217065,11.59501559,59.5774509,31,0.260542155,130
71,1,40,1.91426E-07,0.775235677,18,20,8.237509839,0.326425649,3.690056018,9.253717442,209.8139842,60,0.339706684,197
72,0,0,0,1.204014635,24,29,7.26674656,0.351017088,5.708329573,11.58668068,457.849155,20,0.186099299,121
73,0,0,0,1.873372723,25,29,6.051654347,0.132934414,11.41205001,12.33491112,323.4380609,16,0.059867813,146
74,0,0,0,0.900357333,15,18,7.982010696,0.093684673,9.362770813,17.8940544,176.6202066,12,0.151483524,195
75,0,0,0,0.547945075,23,24,5.704079708,0.371644196,0.176137035,3.643277029,116.5608971,50,0.13820937,184
76,0,0,0,1.405461173,14,16,9.206774567,0.074050325,0.257587956,9.51836461,253.4603541,29,0.115443978,133
77,0,0,0,1.828351984,21,25,7.01527892,0.13538492,4.143662137,11.92146168,468.811911,57,0.172912244,156
78,1,32,1.37404E-05,0.70961767,17,20,9.337602195,0.068004422,1.12087779,7.474348393,326.4930113,11,0.227312144,187
79,0,0,0,0.793271797,22,24,7.613078925,0.167950778,8.262874886,9.935837375,238.6758494,32,0.085862518,154
80,1,34,4.72063E-06,1.401756249,10,13,6.643814502,0.327374791,5.784559706,17.4684616,87.85519194,35,0.383967399,162
81,1,33,8.05378E-06,1.10953083,15,16,6.07096022,0.158532777,6.426203933,2.026283519,125.9840003,48,0.164405226,122
82,0,0,0,1.510344366,21,26,8.036257833,0.271495865,0.61010188,4.347794479,58.98454235,67,0.205661841,145
83,1,32,1.37404E-05,1.658403319,18,21,7.858769199,0.281272569,10.96847563,2.658446127,207.267505,67,0.25348698,196
84,0,0,0,0.290604626,16,19,5.772984721,0.303316774,3.797136972,15.67792145,60.2464449,60,0.113530521,126
85,1,30,3.99945E-05,0.459963015,14,18,6.945138159,0.223774927,6.329235884,16.66440526,419.9202534,14,0.290632966,136
86,1,31,2.34423E-05,1.552772809,21,23,9.19681586,0.160803356,5.432366175,19.48899488,230.9061425,7,0.355542191,169
87,0,0,0,1.232773924,16,17,8.893510173,0.274418822,9.71251076,13.04635685,263.2487669,24,0.273980684,178
88,0,0,0,0.168361792,24,27,7.543821755,0.052414439,5.299499064,10.6056513,439.1542324,25,0.358051438,134
89,1,30,3.99945E-05,0.414962392,16,19,5.959074815,0.172535864,6.995524202,1.637430315,314.2126482,41,0.089257741,197
90,0,0,0,0.181858411,25,29,5.81864923,0.106518761,4.258351709,15.89368991,404.2440618,20,0.375901345,178
91,0,0,0,1.406544288,13,17,9.299705143,0.373977883,10.23551652,10.98615865,477.2838057,57,0.070298578,131
92,1,39,3.26588E-07,0.530429951,9,14,8.272591011,0.162108696,9.348419365,16.60278114,435.746437,8,0.301241076,132
93,1,39,3.26588E-07,1.232741619,13,17,6.284645718,0.099414422,6.842507002,13.79923846,113.8010303,35,0.140795332,170
94,0,0,0,1.281940099,10,13,8.547914064,0.150305357,7.866111391,6.595886221,102.3379652,31,0.106951986,169
95,0,0,0,1.98286296,28,30,8.582093293,0.066652111,1.58439385,18.54758763,375.7826869,54,0.234370364,182
96,0,0,0,0.570241621,20,22,7.420995934,0.146770553,6.88193689,2.354301182,325.8193452,41,0.235697639,138
97,1,30,3.99945E-05,1.252928183,26,29,9.421338294,0.300891575,1.507798632,17.1045987,122.7906092,21,0.050197561,129
98,1,35,2.76694E-06,1.894290327,20,24,9.094545008,0.158546232,3.8113665,16.85045982,109.3398031,44,0.302536496,124
99,0,0,0,0.823715291,9,12,8.055764095,0.147486646,7.821052831,15.12292452,57.59838963,5,0.102027752,126
